index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,,#date+year+start,#date+year+end,,,#country+code,#country+name,,,#indicator+value+num,,,,,
1,WHS9_CS,Cellular subscribers (per 100 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2974,PUBLISHED,Published,,2010,2010,,AFR,Africa,,,2010,2010,,,NGA,Nigeria,,55,55.00000,,,,,
2,WHS10_2,Number of cause-of-death registration years available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/83,PUBLISHED,Published,,1950-2010,,,AFR,Africa,,WB_LMI,,,Lower-middle-income,,NGA,Nigeria,,0,0.00000,,,,,
3,WHS10_3,Number of national population surveys - child anthropometry,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/83,PUBLISHED,Published,,2005-2011,,,AFR,Africa,,WB_LMI,,,Lower-middle-income,,NGA,Nigeria,,2,2.00000,,,,,
4,WHS10_4,Number of national population surveys - child mortality,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/83,PUBLISHED,Published,,2000-2011,,,AFR,Africa,,WB_LMI,,,Lower-middle-income,,NGA,Nigeria,,3,3.00000,,,,,
5,WHS10_5,Number of national population surveys - maternal mortality,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/83,PUBLISHED,Published,,2000-2011,,,AFR,Africa,,WB_LMI,,,Lower-middle-income,,NGA,Nigeria,,1,1.00000,,,,,
6,WHS10_6,Number of national population surveys -  HIV prevalence,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/83,PUBLISHED,Published,,2000-2011,,,AFR,Africa,,WB_LMI,,,Lower-middle-income,,NGA,Nigeria,,0,0.00000,,,,,
7,WHS10_7,Number of national population surveys -  adult health,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/83,PUBLISHED,Published,,2000-2010,,,AFR,Africa,,WB_LMI,,,Lower-middle-income,,NGA,Nigeria,,2,2.00000,,,,,
8,WHS9_CS,Cellular subscribers (per 100 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2974,PUBLISHED,Published,,2011,2011,,AFR,Africa,,,2011,2011,,,NGA,Nigeria,,59,58.58000,,,,,
9,CCO_1,Poverty headcount ratio at $1.25 a day (PPP) (% of population),,PUBLISHED,Published,,2011,2011,,AFR,Africa,,,2011,2011,,,NGA,Nigeria,,54.4,54.40000,,,,,
10,CCO_2,Human development index rank,,PUBLISHED,Published,,2012,2012,,AFR,Africa,,,2012,2012,,,NGA,Nigeria,,153,153.00000,,,,,
11,ITU_IDI_RANK,ICT Development Index (IDI) rank,http://www.itu.int/en/ITU-D/Statistics/Documents/publications/mis2012/MIS2012_without_Annex_4.pdf,PUBLISHED,Published,,2012,2012,,,,,,2012,2012,,,NGA,Nigeria,,122,122.00000,,,,,
12,ITU_IDI,ICT Development Index (IDI),http://www.itu.int/en/ITU-D/Statistics/Documents/publications/mis2012/MIS2012_without_Annex_4.pdf,PUBLISHED,Published,,2012,2012,,,,,,2012,2012,,,NGA,Nigeria,,2.1841881,2.18419,,,,,
13,ITU_IDI_RANK,ICT Development Index (IDI) rank,http://www.itu.int/en/ITU-D/Statistics/Documents/publications/mis2012/MIS2012_without_Annex_4.pdf,PUBLISHED,Published,,2011,2011,,,,,,2011,2011,,,NGA,Nigeria,,123,123.00000,,,,,
14,ITU_IDI,ICT Development Index (IDI),http://www.itu.int/en/ITU-D/Statistics/Documents/publications/mis2012/MIS2012_without_Annex_4.pdf,PUBLISHED,Published,,2011,2011,,,,,,2011,2011,,,NGA,Nigeria,,1.957851079,1.95785,,,,,
15,ITU_ICT_1,Percentage of individuals using the Internet,,PUBLISHED,Published,,2012,2012,,,,,,2012,2012,,,NGA,Nigeria,,32.9,32.87630,,,,,Source: ITU estimate.
16,WHS9_CS,Cellular subscribers (per 100 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2974,PUBLISHED,Published,,2012,2012,,AFR,Africa,,,2012,2012,,,NGA,Nigeria,,67,67.00000,,,,,
17,WHS10_1,Most recent census (year),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3056,PUBLISHED,Published,,2006,2006,,AFR,Africa,,,2006,2006,,,NGA,Nigeria,,2006,2006.00000,,,,,
18,WHS9_CS,Cellular subscribers (per 100 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2974,PUBLISHED,Published,,2013,2013,,AFR,Africa,,WB_LMI,2013,2013,Lower-middle-income,,NGA,Nigeria,,73,73.00000,,,,,
19,WHS9_CBR,Crude birth rate (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2978,PUBLISHED,Published,,2013,2013,,AFR,Africa,,WB_LMI,2013,2013,Lower-middle-income,,NGA,Nigeria,,41.2,41.20000,,,,,
20,WHS9_CDR,Crude death rate (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/41,PUBLISHED,Published,,2013,2013,,AFR,Africa,,WB_LMI,2013,2013,Lower-middle-income,,NGA,Nigeria,,11.9,11.90000,,,,,
21,CCO_2,Human development index rank,,PUBLISHED,Published,,2014,2014,,AFR,Africa,,,2014,2014,,,NGA,Nigeria,,152,152.00000,,,,,
22,CCO_3,Gender inequality index rank,,PUBLISHED,Published,,2014,2014,,AFR,Africa,,,2014,2014,,,NGA,Nigeria,,...,,,,,,
