index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,#indicator+value+num,,,,,
1,DEVICES17,Procurement of medical devices carried out at the national level,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3020,PUBLISHED,Published,,2013.0,2013,,AFR,Africa,,NGA,2013,2013,Nigeria,,No,,,,,,
2,DEVICES18,Availability of national list of approved medical devices for procurement or reimbursement,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3021,PUBLISHED,Published,,2013.0,2013,,AFR,Africa,,NGA,2013,2013,Nigeria,,No,,,,,,
3,DEVICES19,"National guidelines, policies or recommendations on the procurement of medical devices",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3022,PUBLISHED,Published,,2013.0,2013,,AFR,Africa,,NGA,2013,2013,Nigeria,,No,,,,,,
4,DEVICES20,Availability of technical specifications of medical devices to support procurement or donations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3002,PUBLISHED,Published,,2013.0,2013,,AFR,Africa,,NGA,2013,2013,Nigeria,,No,,,,,,
5,DEVICES15,Health technology (medical device) national policy,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3018,PUBLISHED,Published,,2013.0,2013,,AFR,Africa,,NGA,2013,2013,Nigeria,,No,,,,,,
6,DEVICES16,Unit in the Ministry of Health responsible for the management of medical devices,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3019,PUBLISHED,Published,,2013.0,2013,,AFR,Africa,,NGA,2013,2013,Nigeria,,Yes,,,,,,
7,DEVICES14,Use of nomenclature system,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3017,PUBLISHED,Published,,2013.0,2013,,AFR,Africa,,NGA,2013,2013,Nigeria,,No,,,,,,
8,DEVICES13,Type of nomenclature system,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2995,PUBLISHED,Published,,2013.0,2013,,AFR,Africa,,NGA,2013,2013,Nigeria,,None,,,,,,
9,DEVICES06,Availability of national standards or recommended lists of medical devices,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3015,PUBLISHED,Published,,2013.0,2013,,AFR,Africa,,NGA,2013,2013,Nigeria,,For different healthcare facilities,,,,,,
10,DEVICES07,Types of lists recommending health technology for high burden diseases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3016,PUBLISHED,Published,,2013.0,2013,,AFR,Africa,,NGA,2013,2013,Nigeria,,No list available,,,,,,
