index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,#sex+code,#sex+name,,,#indicator+value+num,,,,,
1,HWF_0001,Medical doctors (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5314,PUBLISHED,Published,,2003.0,2003,,AFR,Africa,,NGA,2003,2003,Nigeria,,,,,2.648,2.64800,,,,,
2,HWF_0001,Medical doctors (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5314,PUBLISHED,Published,,2005.0,2005,,AFR,Africa,,NGA,2005,2005,Nigeria,,,,,2.824,2.82400,,,,,
3,HWF_0001,Medical doctors (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5314,PUBLISHED,Published,,2006.0,2006,,AFR,Africa,,NGA,2006,2006,Nigeria,,,,,3.481,3.48100,,,,,
4,HWF_0001,Medical doctors (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5314,PUBLISHED,Published,,2007.0,2007,,AFR,Africa,,NGA,2007,2007,Nigeria,,,,,3.784,3.78400,,,,,
5,HWF_0001,Medical doctors (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5314,PUBLISHED,Published,,2008.0,2008,,AFR,Africa,,NGA,2008,2008,Nigeria,,,,,3.762,3.76200,,,,,
6,HWF_0001,Medical doctors (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5314,PUBLISHED,Published,,2009.0,2009,,AFR,Africa,,NGA,2009,2009,Nigeria,,,,,3.782,3.78200,,,,,
7,HWF_0001,Medical doctors (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5314,PUBLISHED,Published,,2013.0,2013,,AFR,Africa,,NGA,2013,2013,Nigeria,,,,,3.828,3.82800,,,,,
8,HWF_0001,Medical doctors (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5314,PUBLISHED,Published,,2016.0,2016,,AFR,Africa,,NGA,2016,2016,Nigeria,,,,,4.494,4.49400,,,,,
9,HWF_0001,Medical doctors (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5314,PUBLISHED,Published,,2018.0,2018,,AFR,Africa,,NGA,2018,2018,Nigeria,,,,,3.806,3.80600,,,,,
10,HWF_0002,Medical doctors (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5315,PUBLISHED,Published,,2003.0,2003,,AFR,Africa,,NGA,2003,2003,Nigeria,,,,,34923.0,34923.00000,,,,,
11,HWF_0002,Medical doctors (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5315,PUBLISHED,Published,,2005.0,2005,,AFR,Africa,,NGA,2005,2005,Nigeria,,,,,39210.0,39210.00000,,,,,
12,HWF_0002,Medical doctors (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5315,PUBLISHED,Published,,2006.0,2006,,AFR,Africa,,NGA,2006,2006,Nigeria,,,,,49612.0,49612.00000,,,,,
13,HWF_0002,Medical doctors (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5315,PUBLISHED,Published,,2007.0,2007,,AFR,Africa,,NGA,2007,2007,Nigeria,,,,,55376.0,55376.00000,,,,,
14,HWF_0002,Medical doctors (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5315,PUBLISHED,Published,,2008.0,2008,,AFR,Africa,,NGA,2008,2008,Nigeria,,,,,56526.0,56526.00000,,,,,
15,HWF_0002,Medical doctors (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5315,PUBLISHED,Published,,2009.0,2009,,AFR,Africa,,NGA,2009,2009,Nigeria,,,,,58363.0,58363.00000,,,,,
16,HWF_0002,Medical doctors (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5315,PUBLISHED,Published,,2013.0,2013,,AFR,Africa,,NGA,2013,2013,Nigeria,,,,,65759.0,65759.00000,,,,,
17,HWF_0002,Medical doctors (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5315,PUBLISHED,Published,,2016.0,2016,,AFR,Africa,,NGA,2016,2016,Nigeria,,,,,83565.0,83565.00000,,,,,
18,HWF_0002,Medical doctors (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5315,PUBLISHED,Published,,2018.0,2018,,AFR,Africa,,NGA,2018,2018,Nigeria,,,,,74543.0,74543.00000,,,,,
19,HWF_0003,Generalist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5316,PUBLISHED,Published,,2018.0,2018,,AFR,Africa,,NGA,2018,2018,Nigeria,,,,,71508.0,71508.00000,,,,,
20,HWF_0004,Specialist medical practitioners (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5317,PUBLISHED,Published,,2018.0,2018,,AFR,Africa,,NGA,2018,2018,Nigeria,,,,,3035.0,3035.00000,,,,,
21,HWF_0006,Nursing and midwifery personnel (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5319,PUBLISHED,Published,,2003.0,2003,,AFR,Africa,,NGA,2003,2003,Nigeria,,,,,15.944,15.94400,,,,,
22,HWF_0006,Nursing and midwifery personnel (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5319,PUBLISHED,Published,,2005.0,2005,,AFR,Africa,,NGA,2005,2005,Nigeria,,,,,15.369,15.36900,,,,,
23,HWF_0006,Nursing and midwifery personnel (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5319,PUBLISHED,Published,,2006.0,2006,,AFR,Africa,,NGA,2006,2006,Nigeria,,,,,15.034,15.03400,,,,,
24,HWF_0006,Nursing and midwifery personnel (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5319,PUBLISHED,Published,,2007.0,2007,,AFR,Africa,,NGA,2007,2007,Nigeria,,,,,14.993,14.99300,,,,,
25,HWF_0006,Nursing and midwifery personnel (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5319,PUBLISHED,Published,,2008.0,2008,,AFR,Africa,,NGA,2008,2008,Nigeria,,,,,14.969,14.96900,,,,,
26,HWF_0006,Nursing and midwifery personnel (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5319,PUBLISHED,Published,,2009.0,2009,,AFR,Africa,,NGA,2009,2009,Nigeria,,,,,10.768,10.76800,,,,,
27,HWF_0006,Nursing and midwifery personnel (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5319,PUBLISHED,Published,,2010.0,2010,,AFR,Africa,,NGA,2010,2010,Nigeria,,,,,13.568,13.56800,,,,,
28,HWF_0006,Nursing and midwifery personnel (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5319,PUBLISHED,Published,,2013.0,2013,,AFR,Africa,,NGA,2013,2013,Nigeria,,,,,10.258,10.25800,,,,,
29,HWF_0006,Nursing and midwifery personnel (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5319,PUBLISHED,Published,,2016.0,2016,,AFR,Africa,,NGA,2016,2016,Nigeria,,,,,17.551,17.55100,,,,,
30,HWF_0006,Nursing and midwifery personnel (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5319,PUBLISHED,Published,,2018.0,2018,,AFR,Africa,,NGA,2018,2018,Nigeria,,,,,11.792,11.79200,,,,,
31,HWF_0007,Nursing and midwifery personnel  (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5320,PUBLISHED,Published,,2003.0,2003,,AFR,Africa,,NGA,2003,2003,Nigeria,,,,,210306.0,210306.00000,,,,,
32,HWF_0007,Nursing and midwifery personnel  (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5320,PUBLISHED,Published,,2005.0,2005,,AFR,Africa,,NGA,2005,2005,Nigeria,,,,,213425.0,213425.00000,,,,,
33,HWF_0007,Nursing and midwifery personnel  (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5320,PUBLISHED,Published,,2006.0,2006,,AFR,Africa,,NGA,2006,2006,Nigeria,,,,,214288.0,214288.00000,,,,,
34,HWF_0007,Nursing and midwifery personnel  (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5320,PUBLISHED,Published,,2007.0,2007,,AFR,Africa,,NGA,2007,2007,Nigeria,,,,,219407.0,219407.00000,,,,,
35,HWF_0007,Nursing and midwifery personnel  (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5320,PUBLISHED,Published,,2008.0,2008,,AFR,Africa,,NGA,2008,2008,Nigeria,,,,,224943.0,224943.00000,,,,,
36,HWF_0007,Nursing and midwifery personnel  (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5320,PUBLISHED,Published,,2009.0,2009,,AFR,Africa,,NGA,2009,2009,Nigeria,,,,,166173.0,166173.00000,,,,,
37,HWF_0007,Nursing and midwifery personnel  (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5320,PUBLISHED,Published,,2010.0,2010,,AFR,Africa,,NGA,2010,2010,Nigeria,,,,,215055.0,215055.00000,,,,,
38,HWF_0007,Nursing and midwifery personnel  (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5320,PUBLISHED,Published,,2013.0,2013,,AFR,Africa,,NGA,2013,2013,Nigeria,,,,,176195.0,176195.00000,,,,,
39,HWF_0007,Nursing and midwifery personnel  (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5320,PUBLISHED,Published,,2016.0,2016,,AFR,Africa,,NGA,2016,2016,Nigeria,,,,,326376.0,326376.00000,,,,,
40,HWF_0007,Nursing and midwifery personnel  (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5320,PUBLISHED,Published,,2018.0,2018,,AFR,Africa,,NGA,2018,2018,Nigeria,,,,,230975.0,230975.00000,,,,,
41,HWF_0008,Nursing personnel (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5321,PUBLISHED,Published,,2003.0,2003,,AFR,Africa,,NGA,2003,2003,Nigeria,,,,,127580.0,127580.00000,,,,,
42,HWF_0008,Nursing personnel (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5321,PUBLISHED,Published,,2005.0,2005,,AFR,Africa,,NGA,2005,2005,Nigeria,,,,,124629.0,124629.00000,,,,,
43,HWF_0008,Nursing personnel (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5321,PUBLISHED,Published,,2006.0,2006,,AFR,Africa,,NGA,2006,2006,Nigeria,,,,,125292.0,125292.00000,,,,,
