index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,,#date+year+start,#date+year+end,,,#country+code,#country+name,,,#indicator+value+num,,,,,
1,WHS3_40,Cholera - number of reported cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,PUBLISHED,Published,,2009.0,2009,,AFR,Africa,,WB_LMI,2009,2009,Lower-middle-income,,NGA,Nigeria,,13691,,,,,,
2,WHS3_47,Meningitis - number of reported cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/49,PUBLISHED,Published,,2010.0,2010,,AFR,Africa,,WB_LMI,2010,2010,Lower-middle-income,,NGA,Nigeria,,4960,,,,,,
3,WHS3_47,Meningitis - number of reported cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/49,PUBLISHED,Published,,1974.0,1974,,AFR,Africa,,WB_LMI,1974,1974,Lower-middle-income,,NGA,Nigeria,,38,,,,,,
4,WHS3_47,Meningitis - number of reported cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/49,PUBLISHED,Published,,1987.0,1987,,AFR,Africa,,WB_LMI,1987,1987,Lower-middle-income,,NGA,Nigeria,,13609,,,,,,
5,WHS3_47,Meningitis - number of reported cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/49,PUBLISHED,Published,,1988.0,1988,,AFR,Africa,,WB_LMI,1988,1988,Lower-middle-income,,NGA,Nigeria,,8059,,,,,,
6,WHS3_47,Meningitis - number of reported cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/49,PUBLISHED,Published,,1997.0,1997,,AFR,Africa,,WB_LMI,1997,1997,Lower-middle-income,,NGA,Nigeria,,3229,,,,,,
7,WHS3_47,Meningitis - number of reported cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/49,PUBLISHED,Published,,1998.0,1998,,AFR,Africa,,WB_LMI,1998,1998,Lower-middle-income,,NGA,Nigeria,,5948,,,,,,
8,WHS3_51,H5N1 influenza - number of reported cases,,PUBLISHED,Published,,2012.0,2012,,AFR,Africa,,,2012,2012,,,NGA,Nigeria,,0.00,0.00000,,,,,
9,WHS3_47,Meningitis - number of reported cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/49,PUBLISHED,Published,,2012.0,2012,,AFR,Africa,,,2012,2012,,,NGA,Nigeria,,1206.00,1206.00000,,,,,
10,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,PUBLISHED,Published,,1993.0,1993,,AFR,Africa,,,1993,1993,,,NGA,Nigeria,,266,266.00000,,,,,
11,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,PUBLISHED,Published,,1971.0,1971,,AFR,Africa,,,1971,1971,,,NGA,Nigeria,,2945,2945.00000,,,,,
12,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,PUBLISHED,Published,,1973.0,1973,,AFR,Africa,,,1973,1973,,,NGA,Nigeria,,27,27.00000,,,,,
13,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,PUBLISHED,Published,,1976.0,1976,,AFR,Africa,,,1976,1976,,,NGA,Nigeria,,25,25.00000,,,,,
14,CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,PUBLISHED,Published,,1983.0,1983,,AFR,Africa,,,1983,1983,,,NGA,Nigeria,,2,2.00000,,,,,
