index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,#sex+code,#sex+name,,,#indicator+value+num,,,,,
1,MDG_0000000006_AGE1519,"Unmet need for family planning, among girls aged 15-19 (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2480,PUBLISHED,Published,,2008,2008,,AFR,Africa,,NGA,2008,2008,Nigeria,,,,,18.0,18.00000,,,,,
2,MDG_0000000032,Maternal mortality ratio (per 100 000 live births) - Country reported estimates,,PUBLISHED,Published,,2003,2003,,AFR,Africa,,NGA,2003,2003,Nigeria,,,,,800.0,,,,,,
3,MDG_0000000005_AGE1519,"Contraceptive prevalence, among girls aged 15-19 (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/ 2481,PUBLISHED,Published,,2008,2008,,AFR,Africa,,NGA,2008,2008,Nigeria,,,,,3.0,3.00000,,,,,
4,MDG_0000000025_AGE1519,"Births attended by skilled health personnel, among girls aged 15-19 (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/25,PUBLISHED,Published,,2008,2008,,AFR,Africa,,NGA,2008,2008,Nigeria,,,,,24.6,24.60000,,,,,
5,MDG_0000000021,Population aged 15-24 years with comprehensive correct knowledge of HIV/AIDS (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/21,PUBLISHED,Published,,2007-2013,2007-2013,,AFR,Africa,,NGA,2007,2013,Nigeria,,FMLE,Female,,24.0,24.00000,,,,,
6,MDG_0000000021,Population aged 15-24 years with comprehensive correct knowledge of HIV/AIDS (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/21,PUBLISHED,Published,,2007-2013,2007-2013,,AFR,Africa,,NGA,2007,2013,Nigeria,,MLE,Male,,34.0,34.00000,,,,,
7,MDG_0000000016,Deaths due to malaria (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/16,PUBLISHED,Published,,2010,2010,,AFR,Africa,,NGA,2010,2010,Nigeria,,,,,131.0,131.00000,,,,,
8,MDG_0000000005,Contraceptive prevalence (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5,PUBLISHED,Published,,2011,2011,,AFR,Africa,,NGA,2011,2011,Nigeria,,,,,14.1,14.10000,,,,,
9,MDG_0000000015,Prevalence of condom use by adults during higher-risk sex (15-49) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/15,PUBLISHED,Published,,2007-2013,2007-2013,,AFR,Africa,,NGA,2007,2013,Nigeria,,MLE,Male,,20.0,20.00000,,,,,
10,MDG_0000000015,Prevalence of condom use by adults during higher-risk sex (15-49) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/15,PUBLISHED,Published,,2007-2013,2007-2013,,AFR,Africa,,NGA,2007,2013,Nigeria,,FMLE,Female,,29.0,29.00000,,,,,
11,MDG_0000000005,Contraceptive prevalence (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5,PUBLISHED,Published,,2013,2013,,AFR,Africa,,NGA,2013,2013,Nigeria,,,,,15.1,15.10000,,,,,
