index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,#indicator+value+num,,,,,
1,NTD_ONCTREAT,Reported number of individuals treated for onchocerciasis,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4423,PUBLISHED,Published,,2005.0,2005,,AFR,Africa,,NGA,2005,2005,Nigeria,,20753411,20753412.00000,,,,,
2,NTD_ONCTREAT,Reported number of individuals treated for onchocerciasis,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4423,PUBLISHED,Published,,2006.0,2006,,AFR,Africa,,NGA,2006,2006,Nigeria,,21721592,21721592.00000,,,,,
3,NTD_ONCTREAT,Reported number of individuals treated for onchocerciasis,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4423,PUBLISHED,Published,,2007.0,2007,,AFR,Africa,,NGA,2007,2007,Nigeria,,23464448,23464448.00000,,,,,
4,NTD_ONCTREAT,Reported number of individuals treated for onchocerciasis,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4423,PUBLISHED,Published,,2008.0,2008,,AFR,Africa,,NGA,2008,2008,Nigeria,,23599875,23599876.00000,,,,,
5,NTD_ONCTREAT,Reported number of individuals treated for onchocerciasis,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4423,PUBLISHED,Published,,2009.0,2009,,AFR,Africa,,NGA,2009,2009,Nigeria,,26378374,26378374.00000,,,,,
6,NTD_ONCTREAT,Reported number of individuals treated for onchocerciasis,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4423,PUBLISHED,Published,,2012.0,2012,,AFR,Africa,,NGA,2012,2012,Nigeria,,29032404,29032404.00000,,,,,
7,NTD_ONCTREAT,Reported number of individuals treated for onchocerciasis,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4423,PUBLISHED,Published,,2010.0,2010,,AFR,Africa,,NGA,2010,2010,Nigeria,,29116332,29116332.00000,,,,,
8,NTD_ONCTREAT,Reported number of individuals treated for onchocerciasis,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4423,PUBLISHED,Published,,2011.0,2011,,AFR,Africa,,NGA,2011,2011,Nigeria,,30439546,30439546.00000,,,,,
9,NTD_BEJELSTATUS,Status of bejel endemicity,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4458,PUBLISHED,Published,,2013.0,2013,,AFR,Africa,,NGA,2013,2013,Nigeria,,No previous history of bejel,,,,,,
10,NTD_PINTASTATUS,Status of pinta endemicity,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4460,PUBLISHED,Published,,2013.0,2013,,AFR,Africa,,NGA,2013,2013,Nigeria,,No previous history of pinta,,,,,,
11,NTD_LEISHCNUM,Number of cases of cutaneous leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3760,PUBLISHED,Published,,2006.0,2006,,AFR,Africa,,NGA,2006,2006,Nigeria,,4,4.00000,,,,,
12,NTD_LEISHCNUM,Number of cases of cutaneous leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3760,PUBLISHED,Published,,2007.0,2007,,AFR,Africa,,NGA,2007,2007,Nigeria,,6,6.00000,,,,,
13,NTD_LEISHCNUM,Number of cases of cutaneous leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3760,PUBLISHED,Published,,2008.0,2008,,AFR,Africa,,NGA,2008,2008,Nigeria,,7,7.00000,,,,,
14,NTD_LEISHCNUM,Number of cases of cutaneous leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3760,PUBLISHED,Published,,2005.0,2005,,AFR,Africa,,NGA,2005,2005,Nigeria,,8,8.00000,,,,,
