index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,,,#sex+code,#sex+name,,,,,,#indicator+value+num,,,,,
1,CHOL_01,Raised total cholesterol (>= 5.0 mmol/L) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2382,PUBLISHED,Published,,2008.0,2008,,AFR,Africa,,NGA,2008,2008,Nigeria,,AGE25-PLUS,25+ years,,BTSX,Both sexes,,,,,16.1 [8.1-27.9],,,,,,
2,CHOL_02,Raised total cholesterol (>= 5.0 mmol/L) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2382,PUBLISHED,Published,,2008.0,2008,,AFR,Africa,,NGA,2008,2008,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,19.4 [6.6-40.3],,,,,,
3,CHOL_06,Raised total cholesterol (&#8805; 6.2 mmol/L) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2383,PUBLISHED,Published,,2008.0,2008,,AFR,Africa,,NGA,2008,2008,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,2.0 [0.6-4.7],,,,,,
4,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1982.0,1982,,AFR,Africa,,NGA,1982,1982,Nigeria,,AGE20-PLUS,20+ years,,MLE,Male,,,,,21.0 [19.8-22.3],21.00000,19.8,22.3,,,
5,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1983.0,1983,,AFR,Africa,,NGA,1983,1983,Nigeria,,AGE20-PLUS,20+ years,,MLE,Male,,,,,21.1 [20.0-22.1],21.10000,20.0,22.1,,,
6,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1984.0,1984,,AFR,Africa,,NGA,1984,1984,Nigeria,,AGE20-PLUS,20+ years,,MLE,Male,,,,,21.1 [20.1-22.0],21.10000,20.1,22.0,,,
7,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1985.0,1985,,AFR,Africa,,NGA,1985,1985,Nigeria,,AGE20-PLUS,20+ years,,MLE,Male,,,,,21.1 [20.2-21.9],21.10000,20.2,21.9,,,
8,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1998.0,1998,,AFR,Africa,,NGA,1998,1998,Nigeria,,AGE20-PLUS,20+ years,,MLE,Male,,,,,22.0 [21.3-22.6],22.00000,21.3,22.6,,,
9,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1999.0,1999,,AFR,Africa,,NGA,1999,1999,Nigeria,,AGE20-PLUS,20+ years,,MLE,Male,,,,,22.0 [21.3-22.8],22.00000,21.3,22.8,,,
