index,GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),INADEQUACY (CODE),INADEQUACY (DISPLAY),INADEQUACY (URL),ENVCAUSE (CODE),ENVCAUSE (DISPLAY),ENVCAUSE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,,#meta+source,,#status+code,#status+name,,,#date+year,,#region+code,#date+year+start,#date+year+end,#region+name,,,,,#country+code,#country+name,,,,,#sex+code,#sex+name,,,,,,,,,,,,,,,#indicator+value+num,,,,,
1,WSH_2,"Water, sanitation and hygiene attributable deaths ('000) in children under 5 years",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2260,,,,PUBLISHED,Published,,2004.0,2004,,AFR,2004,2004,Africa,,,,,NGA,Nigeria,,,,,,,,,,,,,,,,,,,,129608,129607.92000,,,,,
2,WSH_3,"Water, sanitation and hygiene attributable deaths per 100'000 capita",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2260,,,,PUBLISHED,Published,,2004.0,2004,,AFR,2004,2004,Africa,,,,,NGA,Nigeria,,,,,,,,,,,,,,,,,,,,129,129.27000,,,,,
3,AIR_18,Household air pollution  attributable DALYs per 100'000 children under 5 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4491,,,,PUBLISHED,Published,,2004.0,2004,,AFR,2004,2004,Africa,,,,,NGA,Nigeria,,,,,,,,,,,,,,,,,,,,13173,13173.19000,,,,,
4,UV_1,UV radiation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2395,,,,PUBLISHED,Published,,2004.0,2004,,AFR,2004,2004,Africa,,,,,NGA,Nigeria,,,,,,,,,,,,,,,,,,,,5251,5251.00000,,,,,
5,TOTENV_3,Disability-adjusted life years (DALYs) attributable to the environment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4654,,,,PUBLISHED,Published,,2012.0,2012,,AFR,2012,2012,Africa,,,,,NGA,Nigeria,,,,,,,,,,,,,,,,,ENVCAUSE001,"Infectious, parasitic, neonatal and nutritional",,27 395 177,27395177.00000,,,,,
6,TOTENV_1,Deaths attributable to the environment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4653,,,,PUBLISHED,Published,,2012.0,2012,,AFR,2012,2012,Africa,,,,,NGA,Nigeria,,,,,,,,,,,,,,,,,ENVCAUSE001,"Infectious, parasitic, neonatal and nutritional",,312 269,312269.00000,,,,,
7,TOTENV_6,Disability-adjusted life years (DALYs) attributable to the environment (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4657,,,,PUBLISHED,Published,,2012.0,2012,,AFR,2012,2012,Africa,,,,,NGA,Nigeria,,,,,,,,,,,,,,,,,ENVCAUSE000,Total,,25,0.25000,,,,,
8,TOTENV_3,Disability-adjusted life years (DALYs) attributable to the environment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4654,,,,PUBLISHED,Published,,2012.0,2012,,AFR,2012,2012,Africa,,,,,NGA,Nigeria,,,,,,,,,,,,,,,,,ENVCAUSE000,Total,,39 087 714,39087714.00000,,,,,
9,TOTENV_2,Age-standardized deaths attributable to the environment (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4656,,,,PUBLISHED,Published,,2012.0,2012,,AFR,2012,2012,Africa,,,,,NGA,Nigeria,,,,,,,,,,,,,,,,,ENVCAUSE000,Total,,333,333.01595,,,,,
