index,GHO (CODE),ENDYEAR,COUNTRY (CODE),SEX (DISPLAY),Numeric
0,#indicator+code,#date+year+end,#country+code,#sex+name,#indicator+value+num
1,MDG_0000000001,2015,NGA,Female,71.22855
2,MDG_0000000001,2015,NGA,Male,85.91454
3,MDG_0000000001,2014,NGA,Both sexes,79.55886
4,MDG_0000000001,2014,NGA,Female,72.03639
5,MDG_0000000001,2010,NGA,Male,91.71854
6,MDG_0000000001,2009,NGA,Both sexes,85.86673
7,MDG_0000000001,2009,NGA,Female,77.73269
8,MDG_0000000001,2009,NGA,Male,93.61044
9,MDG_0000000001,2008,NGA,Both sexes,87.88430
10,MDG_0000000001,2004,NGA,Female,89.55992
11,MDG_0000000001,2004,NGA,Male,107.20647
12,MDG_0000000001,2003,NGA,Both sexes,101.64144
13,MDG_0000000001,2003,NGA,Female,92.62560
14,MDG_0000000001,1998,NGA,Both sexes,116.46240
15,MDG_0000000001,1998,NGA,Female,106.70920
16,MDG_0000000001,1998,NGA,Male,125.80337
17,MDG_0000000001,1997,NGA,Both sexes,118.88213
18,MDG_0000000001,1993,NGA,Female,113.64555
19,MDG_0000000001,1993,NGA,Male,133.94418
20,MDG_0000000001,1992,NGA,Both sexes,124.48955
21,MDG_0000000001,1992,NGA,Female,113.89880
22,MDG_0000000001,1992,NGA,Male,134.56394
23,MDG_0000000001,1987,NGA,Both sexes,124.66523
24,MDG_0000000001,1987,NGA,Female,114.34405
25,MDG_0000000001,1987,NGA,Male,134.50826
26,MDG_0000000001,1986,NGA,Both sexes,124.15094
27,MDG_0000000001,1982,NGA,Male,133.02584
28,MDG_0000000001,1981,NGA,Both sexes,124.72810
29,MDG_0000000001,1981,NGA,Female,114.90480
30,MDG_0000000001,1981,NGA,Male,134.12009
31,MDG_0000000001,1976,NGA,Female,128.70393
32,MDG_0000000001,1976,NGA,Male,149.90491
33,MDG_0000000001,1975,NGA,Both sexes,144.09382
34,MDG_0000000001,1975,NGA,Female,132.92632
35,MDG_0000000001,1971,NGA,Male,176.01948
36,MDG_0000000001,1970,NGA,Both sexes,169.04050
37,MDG_0000000001,1970,NGA,Female,156.08656
38,MDG_0000000001,1970,NGA,Male,181.21210
39,MDG_0000000001,1969,NGA,Both sexes,173.71729
40,MDG_0000000001,1965,NGA,Female,176.47544
41,MDG_0000000001,1965,NGA,Male,204.45538
42,MDG_0000000001,1964,NGA,Both sexes,194.99117
43,MDG_0000000001,1964,NGA,Female,180.28078
44,MDG_0000000001,2018,NGA,Female,68.48447
45,MDG_0000000001,2018,NGA,Male,82.59333
46,MDG_0000000001,2017,NGA,Both sexes,76.88758
47,MDG_0000000001,2017,NGA,Female,69.58311
48,MDG_0000000001,2012,NGA,Both sexes,81.53049
49,MDG_0000000001,2012,NGA,Female,73.76316
50,MDG_0000000001,2012,NGA,Male,88.88590
51,MDG_0000000001,2011,NGA,Both sexes,82.66915
52,MDG_0000000001,2007,NGA,Male,98.31429
53,MDG_0000000001,2006,NGA,Both sexes,92.80109
54,MDG_0000000001,2006,NGA,Female,83.99200
55,MDG_0000000001,2006,NGA,Male,101.16946
56,MDG_0000000001,2001,NGA,Both sexes,107.84087
57,MDG_0000000001,2001,NGA,Female,98.67667
58,MDG_0000000001,2001,NGA,Male,116.56580
59,MDG_0000000001,2000,NGA,Both sexes,110.86931
60,MDG_0000000001,2000,NGA,Female,101.57720
61,MDG_0000000001,1996,NGA,Male,130.41169
62,MDG_0000000001,1995,NGA,Both sexes,122.33546
63,MDG_0000000001,1995,NGA,Female,112.16163
64,MDG_0000000001,1995,NGA,Male,132.03910
65,MDG_0000000001,1990,NGA,Female,114.52318
66,MDG_0000000001,1990,NGA,Male,135.13529
67,MDG_0000000001,1989,NGA,Both sexes,125.15725
68,MDG_0000000001,1989,NGA,Female,114.68302
69,MDG_0000000001,1984,NGA,Both sexes,123.29180
70,MDG_0000000001,1984,NGA,Female,113.24811
71,MDG_0000000001,1984,NGA,Male,132.83746
72,MDG_0000000001,1983,NGA,Both sexes,123.25050
73,MDG_0000000001,1979,NGA,Female,118.64732
74,MDG_0000000001,1979,NGA,Male,138.42102
75,MDG_0000000001,1978,NGA,Both sexes,131.68292
76,MDG_0000000001,1978,NGA,Female,121.39523
77,MDG_0000000001,1973,NGA,Both sexes,154.00466
78,MDG_0000000001,1973,NGA,Female,142.17529
79,MDG_0000000001,1973,NGA,Male,165.26490
80,MDG_0000000001,1972,NGA,Both sexes,159.04946
81,MDG_0000000001,1968,NGA,Male,191.07031
82,MDG_0000000001,1967,NGA,Both sexes,182.44024
83,MDG_0000000001,1967,NGA,Female,168.53930
84,MDG_0000000001,1967,NGA,Male,195.67528
85,MDG_0000000001,2016,NGA,Both sexes,77.88136
86,MDG_0000000001,2016,NGA,Male,84.99752
