index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,#indicator+value+num,,,,,
1,MALARIA_ITNPOP,Population in malaria-endemic areas who slept under an insecticide-treated bed net (ITN) the previous night (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5564,PUBLISHED,Published,,2000.0,2000,,AFR,Africa,,NGA,2000,2000,Nigeria,,1.98 [1.82-2.14],1.98315,1.82176,2.14152,,,
2,MALARIA_ITNPOP,Population in malaria-endemic areas who slept under an insecticide-treated bed net (ITN) the previous night (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5564,PUBLISHED,Published,,2001.0,2001,,AFR,Africa,,NGA,2001,2001,Nigeria,,2.01 [1.85-2.18],2.01201,1.85099,2.17796,,,
3,MALARIA_ITNPOP,Population in malaria-endemic areas who slept under an insecticide-treated bed net (ITN) the previous night (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5564,PUBLISHED,Published,,2002.0,2002,,AFR,Africa,,NGA,2002,2002,Nigeria,,2.08 [1.91-2.24],2.07656,1.91233,2.23756,,,
4,MALARIA_ITNPOP,Population in malaria-endemic areas who slept under an insecticide-treated bed net (ITN) the previous night (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5564,PUBLISHED,Published,,2003.0,2003,,AFR,Africa,,NGA,2003,2003,Nigeria,,2.11 [1.94-2.27],2.10721,1.93968,2.27331,,,
5,MALARIA_ITNPOP,Population in malaria-endemic areas who slept under an insecticide-treated bed net (ITN) the previous night (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5564,PUBLISHED,Published,,2004.0,2004,,AFR,Africa,,NGA,2004,2004,Nigeria,,2.23 [2.02-2.44],2.22606,2.02332,2.43833,,,
6,MALARIA_ITNPOP,Population in malaria-endemic areas who slept under an insecticide-treated bed net (ITN) the previous night (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5564,PUBLISHED,Published,,2005.0,2005,,AFR,Africa,,NGA,2005,2005,Nigeria,,2.74 [2.34-3.17],2.74152,2.34402,3.17346,,,
7,MALARIA_ITNPOP,Population in malaria-endemic areas who slept under an insecticide-treated bed net (ITN) the previous night (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5564,PUBLISHED,Published,,2006.0,2006,,AFR,Africa,,NGA,2006,2006,Nigeria,,4.19 [3.48-4.92],4.18888,3.4818,4.92082,,,
8,MALARIA_ITNPOP,Population in malaria-endemic areas who slept under an insecticide-treated bed net (ITN) the previous night (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5564,PUBLISHED,Published,,2007.0,2007,,AFR,Africa,,NGA,2007,2007,Nigeria,,2.84 [2.54-3.17],2.83714,2.54321,3.17228,,,
9,MALARIA_ITNPOP,Population in malaria-endemic areas who slept under an insecticide-treated bed net (ITN) the previous night (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5564,PUBLISHED,Published,,2008.0,2008,,AFR,Africa,,NGA,2008,2008,Nigeria,,3.65 [3.12-4.30],3.65101,3.11682,4.29862,,,
10,MALARIA_ITNPOP,Population in malaria-endemic areas who slept under an insecticide-treated bed net (ITN) the previous night (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5564,PUBLISHED,Published,,2009.0,2009,,AFR,Africa,,NGA,2009,2009,Nigeria,,12.23 [7.47-17.28],12.22691,7.47116,17.27549,,,
11,MALARIA_ITNPOP,Population in malaria-endemic areas who slept under an insecticide-treated bed net (ITN) the previous night (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5564,PUBLISHED,Published,,2010.0,2010,,AFR,Africa,,NGA,2010,2010,Nigeria,,22.06 [17.07-26.96],22.05589,17.07157,26.95693,,,
12,MALARIA_ITNPOP,Population in malaria-endemic areas who slept under an insecticide-treated bed net (ITN) the previous night (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5564,PUBLISHED,Published,,2011.0,2011,,AFR,Africa,,NGA,2011,2011,Nigeria,,27.04 [22.26-32.21],27.03525,22.25507,32.21328,,,
13,MALARIA_ITNPOP,Population in malaria-endemic areas who slept under an insecticide-treated bed net (ITN) the previous night (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5564,PUBLISHED,Published,,2012.0,2012,,AFR,Africa,,NGA,2012,2012,Nigeria,,31.24 [25.41-36.28],31.24410,25.40898,36.28462,,,
14,MALARIA_ITNPOP,Population in malaria-endemic areas who slept under an insecticide-treated bed net (ITN) the previous night (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5564,PUBLISHED,Published,,2013.0,2013,,AFR,Africa,,NGA,2013,2013,Nigeria,,32.62 [28.22-37.24],32.61732,28.22042,37.23943,,,
15,MALARIA_ITNPOP,Population in malaria-endemic areas who slept under an insecticide-treated bed net (ITN) the previous night (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5564,PUBLISHED,Published,,2014.0,2014,,AFR,Africa,,NGA,2014,2014,Nigeria,,36.83 [28.39-44.99],36.83356,28.39238,44.98841,,,
16,MALARIA_ITNPOP,Population in malaria-endemic areas who slept under an insecticide-treated bed net (ITN) the previous night (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5564,PUBLISHED,Published,,2015.0,2015,,AFR,Africa,,NGA,2015,2015,Nigeria,,46.78 [41.38-51.43],46.78366,41.37589,51.42939,,,
17,MALARIA_ITNPOP,Population in malaria-endemic areas who slept under an insecticide-treated bed net (ITN) the previous night (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5564,PUBLISHED,Published,,2016.0,2016,,AFR,Africa,,NGA,2016,2016,Nigeria,,49.24 [44.37-54.19],49.23967,44.37195,54.18798,,,
18,MALARIA_ITNPOP,Population in malaria-endemic areas who slept under an insecticide-treated bed net (ITN) the previous night (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5564,PUBLISHED,Published,,2017.0,2017,,AFR,Africa,,NGA,2017,2017,Nigeria,,46.87 [36.53-54.77],46.87368,36.5345,54.77058,,,
19,MALARIA_ITNPOP,Population in malaria-endemic areas who slept under an insecticide-treated bed net (ITN) the previous night (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5564,PUBLISHED,Published,,2018.0,2018,,AFR,Africa,,NGA,2018,2018,Nigeria,,42.90 [28.95-54.36],42.89538,28.94938,54.36057,,,
