index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,#sex+code,#sex+name,,,#indicator+value+num,,,,,
1,CATARACTSURGICAL,Cataract surgical coverage of adults aged 50 and over (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4729,PUBLISHED,Published,,2005-2007,2005-2007,,AFR,Africa,,NGA,2005,2007,Nigeria,,MLE,Male,,30,30.00000,,,,,"National survey; Sample size: 8702; Reference: Kyari F, Gudlavalleti MV, Sivsubramaniam S, Gilbert CE, Abdull MM, Entekume G, Foster A; Prevalence of blindness and visual impairment in Nigeria: the National Blindness and Visual impairment Study. Invest Ophthalmol Vis Sci. 2009 May;50 (5):2033-9 and Contact Dr Jacqui Ramke for details of calculations to make national survey results compatible with RAAB generated data   jramke@gmail.com"
2,CATARACTSURGICALEFFECTIVE,Effective cataract surgical coverage of adults aged 50 and over (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4730,PUBLISHED,Published,,2005-2007,2005-2007,,AFR,Africa,,NGA,2005,2007,Nigeria,,MLE,Male,,12,12.00000,,,,,"National survey; Sample size: 8702; Reference: Kyari F, Gudlavalleti MV, Sivsubramaniam S, Gilbert CE, Abdull MM, Entekume G, Foster A; Prevalence of blindness and visual impairment in Nigeria: the National Blindness and Visual impairment Study. Invest Ophthalmol Vis Sci. 2009 May;50 (5):2033-9 and Contact Dr Jacqui Ramke for details of calculations to make national survey results compatible with RAAB generated data   jramke@gmail.com"
3,CATARACTSURGICAL,Cataract surgical coverage of adults aged 50 and over (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4729,PUBLISHED,Published,,2005-2007,2005-2007,,AFR,Africa,,NGA,2005,2007,Nigeria,,FMLE,Female,,16,16.00000,,,,,"National survey; Sample size: 8702; Reference: Kyari F, Gudlavalleti MV, Sivsubramaniam S, Gilbert CE, Abdull MM, Entekume G, Foster A; Prevalence of blindness and visual impairment in Nigeria: the National Blindness and Visual impairment Study. Invest Ophthalmol Vis Sci. 2009 May;50 (5):2033-9 and Contact Dr Jacqui Ramke for details of calculations to make national survey results compatible with RAAB generated data   jramke@gmail.com"
4,CATARACTSURGICALEFFECTIVE,Effective cataract surgical coverage of adults aged 50 and over (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4730,PUBLISHED,Published,,2005-2007,2005-2007,,AFR,Africa,,NGA,2005,2007,Nigeria,,FMLE,Female,,6,6.00000,,,,,"National survey; Sample size: 8702; Reference: Kyari F, Gudlavalleti MV, Sivsubramaniam S, Gilbert CE, Abdull MM, Entekume G, Foster A; Prevalence of blindness and visual impairment in Nigeria: the National Blindness and Visual impairment Study. Invest Ophthalmol Vis Sci. 2009 May;50 (5):2033-9 and Contact Dr Jacqui Ramke for details of calculations to make national survey results compatible with RAAB generated data   jramke@gmail.com"
5,CATARACTSURGICAL,Cataract surgical coverage of adults aged 50 and over (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4729,PUBLISHED,Published,,2005-2007,2005-2007,,AFR,Africa,,NGA,2005,2007,Nigeria,,BTSX,Both sexes,,21,21.00000,,,,,"National survey; Sample size: 8702; Reference: Kyari F, Gudlavalleti MV, Sivsubramaniam S, Gilbert CE, Abdull MM, Entekume G, Foster A; Prevalence of blindness and visual impairment in Nigeria: the National Blindness and Visual impairment Study. Invest Ophthalmol Vis Sci. 2009 May;50 (5):2033-9 and Contact Dr Jacqui Ramke for details of calculations to make national survey results compatible with RAAB generated data   jramke@gmail.com"
6,CATARACTSURGICALEFFECTIVE,Effective cataract surgical coverage of adults aged 50 and over (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4730,PUBLISHED,Published,,2005-2007,2005-2007,,AFR,Africa,,NGA,2005,2007,Nigeria,,BTSX,Both sexes,,8,8.00000,,,,,"National survey; Sample size: 8702; Reference: Kyari F, Gudlavalleti MV, Sivsubramaniam S, Gilbert CE, Abdull MM, Entekume G, Foster A; Prevalence of blindness and visual impairment in Nigeria: the National Blindness and Visual impairment Study. Invest Ophthalmol Vis Sci. 2009 May;50 (5):2033-9 and Contact Dr Jacqui Ramke for details of calculations to make national survey results compatible with RAAB generated data   jramke@gmail.com"
7,UHC_IHR,Compliance with international health regulations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4824,PUBLISHED,Published,,2011,2011,,AFR,Africa,,NGA,2011,2011,Nigeria,,,,,38,38.00000,,,,,
8,UHC_IHR,Compliance with international health regulations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4824,PUBLISHED,Published,,2012,2012,,AFR,Africa,,NGA,2012,2012,Nigeria,,,,,36,36.00000,,,,,
9,UHC_IHR,Compliance with international health regulations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4824,PUBLISHED,Published,,2013,2013,,AFR,Africa,,NGA,2013,2013,Nigeria,,,,,52,52.00000,,,,,
