index,GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),EDUCATIONLEVEL (CODE),EDUCATIONLEVEL (DISPLAY),EDUCATIONLEVEL (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),WEALTHQUINTILE (CODE),WEALTHQUINTILE (DISPLAY),WEALTHQUINTILE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,,#meta+source,,#status+code,#status+name,,,#date+year,,#region+code,#date+year+start,#date+year+end,#region+name,,#country+code,#country+name,,,,,,,,#sex+code,#sex+name,,,,,,,,,#indicator+value+num,,,,,
1,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,2008.0,2008,,AFR,2008,2008,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ2,Q2,,19.8,0.19838,,,,,
2,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,2008.0,2008,,AFR,2008,2008,Africa,,NGA,Nigeria,,,,,,,,,,,URB,Urban,,,,,19.9,0.19948,,,,,
3,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,2003.0,2003,,AFR,2003,2003,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,18.1,0.18104,,,,,
4,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,2008.0,2008,,AFR,2008,2008,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ4,Q4,,22.2,0.22172,,,,,
5,EQ_SLEPTNETS,Women that slept under a bednet last night (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4435,,,,PUBLISHED,Published,,2003.0,2003,,AFR,2003,2003,Africa,,NGA,Nigeria,,YEARS6-11,6-11 years,,,,,FMLE,Female,,,,,,,,2.7,0.02700,,,,,
6,EQ_SLEPTNETS,Women that slept under a bednet last night (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4435,,,,PUBLISHED,Published,,2003.0,2003,,AFR,2003,2003,Africa,,NGA,Nigeria,,,,,,,,FMLE,Female,,,,,WQ2,Q2,,2.8,0.02800,,,,,
7,EQ_SLEPTNETS,Women that slept under a bednet last night (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4435,,,,PUBLISHED,Published,,2003.0,2003,,AFR,2003,2003,Africa,,NGA,Nigeria,,,,,,,,FMLE,Female,,,,,WQ3,Q3,,3.5,0.03500,,,,,
8,EQ_SLEPTNETS,Women that slept under a bednet last night (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4435,,,,PUBLISHED,Published,,2003.0,2003,,AFR,2003,2003,Africa,,NGA,Nigeria,,,,,,,,FMLE,Female,,,,,WQ4,Q4,,1.9,0.01900,,,,,
9,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,2008.0,2008,,AFR,2008,2008,Africa,,NGA,Nigeria,,YEARS12+,12+  years,,,,,,,,,,,,,,22.0,0.21980,,,,,
